date,open,high,low,close,volume,source,label,ticker
2019-11-22,9794.317,9875.709,9573.474,9626.902,25040762291,akshare,深证成指,sz399001
2019-11-25,9626.405,9643.234,9515.331,9626.355,22597315614,akshare,深证成指,sz399001
2019-11-26,9662.414,9698.599,9609.73,9677.234,21730770259,akshare,深证成指,sz399001
2019-11-27,9643.11,9694.225,9589.209,9648.393,20254427028,akshare,深证成指,sz399001
2019-11-28,9650.266,9679.964,9594.371,9622.144,18276670453,akshare,深证成指,sz399001
2019-11-29,9614.712,9633.139,9490.847,9582.156,18456686136,akshare,深证成指,sz399001
2019-12-02,9603.017,9647.954,9582.324,9605.188,18545145357,akshare,深证成指,sz399001
2019-12-03,9585.754,9657.653,9531.255,9657.653,19311439189,akshare,深证成指,sz399001
2019-12-04,9624.186,9703.396,9614.038,9687.951,20208639232,akshare,深证成指,sz399001
2019-12-05,9719.302,9817.206,9703.91,9799.069,22952501959,akshare,深证成指,sz399001
2019-12-06,9804.041,9878.623,9791.563,9878.623,22838035736,akshare,深证成指,sz399001
2019-12-09,9908.968,9917.605,9853.197,9876.269,25486272290,akshare,深证成指,sz399001
2019-12-10,9850.036,9915.866,9826.835,9915.866,25902285804,akshare,深证成指,sz399001
2019-12-11,9905.912,9921.653,9829.111,9852.714,26947543752,akshare,深证成指,sz399001
2019-12-12,9862.433,9887.563,9824.415,9836.234,25565456129,akshare,深证成指,sz399001
2019-12-13,9923.787,10014.207,9907.758,10004.624,29400938401,akshare,深证成指,sz399001
2019-12-16,10040.262,10158.241,10015.451,10158.241,35227189912,akshare,深证成指,sz399001
2019-12-17,10157.426,10350.65,10148.686,10306.031,42480727078,akshare,深证成指,sz399001
2019-12-18,10299.05,10365.163,10266.639,10294.66,37978310705,akshare,深证成指,sz399001
2019-12-19,10298.505,10316.773,10254.945,10296.291,34758610163,akshare,深证成指,sz399001
2019-12-20,10305.098,10343.07,10229.097,10229.486,34529000113,akshare,深证成指,sz399001
2019-12-23,10202.229,10248.804,10050.408,10056.208,30843913604,akshare,深证成指,sz399001
2019-12-24,10080.368,10190.04,10065.555,10189.286,26415434146,akshare,深证成指,sz399001
2019-12-25,10176.722,10255.204,10170.21,10229.578,29073447318,akshare,深证成指,sz399001
2019-12-26,10239.758,10303.715,10221.337,10303.715,29292905175,akshare,深证成指,sz399001
2019-12-27,10326.521,10377.944,10226.619,10233.772,35167642095,akshare,深证成指,sz399001
2019-12-30,10203.815,10365.957,10133.881,10365.957,32284492558,akshare,深证成指,sz399001
2019-12-31,10360.784,10433.293,10352.889,10430.767,28242771754,akshare,深证成指,sz399001
2020-01-02,10509.124,10663.555,10479.773,10638.824,39279517396,akshare,深证成指,sz399001
2020-01-03,10666.655,10689.591,10594.357,10656.406,37360393826,akshare,深证成指,sz399001
2020-01-06,10599.411,10799.58,10577.782,10698.273,43899825118,akshare,深证成指,sz399001
2020-01-07,10725.178,10829.045,10723.857,10829.045,41449962703,akshare,深证成指,sz399001
2020-01-08,10776.708,10851.281,10681.024,10706.868,46250690962,akshare,深证成指,sz399001
2020-01-09,10807.037,10899.482,10807.037,10898.166,39659111472,akshare,深证成指,sz399001
2020-01-10,10927.981,10933.806,10833.52,10879.843,35568971362,akshare,深证成指,sz399001
2020-01-13,10893.995,11040.201,10851.72,11040.201,34527366282,akshare,深证成指,sz399001
2020-01-14,11074.887,11086.809,10983.415,10988.768,37729812166,akshare,深证成指,sz399001
